"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"173R",2001,"PYRAMID ROCK",-0.310010441714913,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"173Y",2004,"SOUTH SEAL ROCK",0.209393205504606,"M",12,12,12,1,2,3,4,12,12,12,12,12,12,12,12,12,12,12,12
"174R",2001,"PYRAMID ROCK",-0.322678823354413,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"174Y",2004,"SOUTH SEAL ROCK",0.196724823865105,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"175R",2001,"PYRAMID ROCK",-0.487367784667919,"M",12,12,12,4,5,6,12,12,12,12,11,11,12,12,12,12,12,12,12
"175Y",2004,"SOUTH SEAL ROCK",-0.0566428089249039,"M",12,12,12,12,12,12,12,12,12,7,8,9,10,11,11,12,12,12,12
"176R",2001,"PYRAMID ROCK",-1.07011334008494,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"176Y",2004,"SOUTH SEAL ROCK",-0.474699403028419,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"177R",2001,"PYRAMID ROCK",-0.728067035818428,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"177Y",2004,"SOUTH SEAL ROCK",-0.119984717122406,"M",12,12,12,1,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12
"178R",2001,"PYRAMID ROCK",-0.22133177023841,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"178Y",2004,"SOUTH SEAL ROCK",0.184056442225605,"F",12,12,12,1,12,12,4,5,6,12,12,12,12,12,12,12,12,12,12
"179R",2001,"PYRAMID ROCK",-0.588714837783923,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"179Y",2004,"SOUTH SEAL ROCK",0.184056442225605,"F",12,12,12,12,12,3,4,5,6,7,8,9,12,12,12,12,12,12,12
"17R",2001,"PYRAMID ROCK",-0.829414088934431,"F",12,2,3,4,5,6,12,12,12,12,12,12,12,12,12,12,12,12,12
"17Y",2002,"SOUTH SEAL ROCK",0.184056442225605,"M",12,1,12,3,4,5,6,12,12,12,12,12,12,12,12,12,12,12,12
"180R",2001,"PYRAMID ROCK",-0.79140894401593,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"180Y",2004,"SOUTH SEAL ROCK",0.538771128131617,"F",12,12,12,1,2,3,4,5,6,12,12,12,12,12,12,12,12,12,12
"181R",2003,"PYRAMID ROCK",0.386750548457612,"M",12,12,1,12,12,12,5,12,12,12,12,12,12,12,12,12,12,12,12
"181Y",2004,"SOUTH SEAL ROCK",0.120714534028103,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"182R",2003,"PYRAMID ROCK",-0.398689113191416,"F",12,12,1,2,3,4,5,6,7,8,9,10,11,11,11,11,12,12,12
"182Y",2004,"SOUTH SEAL ROCK",-0.538041311225921,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"183R",2003,"PYRAMID ROCK",1.00750124879313,"M",12,12,1,2,3,4,5,6,7,8,9,10,11,11,12,11,11,11,11
"183Y",2004,"SOUTH SEAL ROCK",1.09617992026964,"F",12,12,12,1,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12
"184R",2003,"PYRAMID ROCK",-0.157989862040908,"F",12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"184Y",2004,"SOUTH SEAL ROCK",0.0447042441910997,"F",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"185R",2003,"PYRAMID ROCK",-0.0946479538434053,"F",12,12,1,2,12,4,5,6,12,8,9,10,11,12,12,12,12,12,12
"185Y",2004,"SOUTH SEAL ROCK",0.62744979960812,"M",12,12,12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
